season_day,date,n_teams,n_teams_early,n_teams_night
1,2016-10-25,6,0,6
2,2016-10-26,20,0,20
3,2016-10-27,8,0,8
4,2016-10-28,16,0,16
5,2016-10-29,18,2,16
6,2016-10-30,14,8,6
7,2016-10-31,8,0,8
8,2016-11-01,18,2,16
9,2016-11-02,20,0,20
10,2016-11-03,10,0,10
11,2016-11-04,18,0,18
12,2016-11-05,16,2,14
13,2016-11-06,12,6,6
14,2016-11-07,14,0,14
15,2016-11-08,12,0,12
16,2016-11-09,22,0,22
17,2016-11-10,8,0,8
18,2016-11-11,16,0,16
19,2016-11-12,22,0,22
20,2016-11-13,10,2,8
21,2016-11-14,16,0,16
22,2016-11-15,10,0,10
23,2016-11-16,22,0,22
24,2016-11-17,10,0,10
25,2016-11-18,20,0,20
26,2016-11-19,18,2,16
27,2016-11-20,12,4,8
28,2016-11-21,18,0,18
29,2016-11-22,8,0,8
30,2016-11-23,26,0,26
31,2016-11-25,30,2,28
32,2016-11-26,10,0,10
33,2016-11-27,16,10,6
34,2016-11-28,14,0,14
35,2016-11-29,12,0,12
36,2016-11-30,18,0,18
37,2016-12-01,12,0,12
38,2016-12-02,18,0,18
39,2016-12-03,18,2,16
40,2016-12-04,8,2,6
41,2016-12-05,22,0,22
42,2016-12-06,12,0,12
43,2016-12-07,20,0,20
44,2016-12-08,12,0,12
45,2016-12-09,18,0,18
46,2016-12-10,20,0,20
47,2016-12-11,10,2,8
48,2016-12-12,14,0,14
49,2016-12-13,12,0,12
50,2016-12-14,20,0,20
51,2016-12-15,10,0,10
52,2016-12-16,20,0,20
53,2016-12-17,14,2,12
54,2016-12-18,14,12,2
55,2016-12-19,10,0,10
56,2016-12-20,22,0,22
57,2016-12-21,16,0,16
58,2016-12-22,10,0,10
59,2016-12-23,28,0,28
60,2016-12-25,10,6,4
61,2016-12-26,22,0,22
62,2016-12-27,8,0,8
63,2016-12-28,20,0,20
64,2016-12-29,12,0,12
65,2016-12-30,20,2,18
66,2016-12-31,12,2,10
67,2017-01-01,10,6,4
68,2017-01-02,16,0,16
69,2017-01-03,16,0,16
70,2017-01-04,14,0,14
71,2017-01-05,16,0,16
72,2017-01-06,16,0,16
73,2017-01-07,14,0,14
74,2017-01-08,18,8,10
75,2017-01-09,6,0,6
76,2017-01-10,18,0,18
77,2017-01-11,12,0,12
78,2017-01-12,12,2,10
79,2017-01-13,18,0,18
80,2017-01-14,10,6,4
81,2017-01-15,14,8,6
82,2017-01-16,18,10,8
83,2017-01-17,10,0,10
84,2017-01-18,18,0,18
85,2017-01-19,10,0,10
86,2017-01-20,18,0,18
87,2017-01-21,22,4,18
88,2017-01-22,8,6,2
89,2017-01-23,18,0,18
90,2017-01-24,12,0,12
91,2017-01-25,20,0,20
92,2017-01-26,8,0,8
93,2017-01-27,20,0,20
94,2017-01-28,14,0,14
95,2017-01-29,16,10,6
96,2017-01-30,12,2,10
97,2017-01-31,12,0,12
98,2017-02-01,24,0,24
99,2017-02-02,8,0,8
100,2017-02-03,18,0,18
101,2017-02-04,20,0,20
102,2017-02-05,6,6,0
103,2017-02-06,22,0,22
104,2017-02-07,6,0,6
105,2017-02-08,24,0,24
106,2017-02-09,10,0,10
107,2017-02-10,18,0,18
108,2017-02-11,16,2,14
109,2017-02-12,8,6,2
110,2017-02-13,22,0,22
111,2017-02-14,6,0,6
112,2017-02-15,28,0,28
113,2017-02-16,4,0,4
114,2017-02-23,12,0,12
115,2017-02-24,20,0,20
116,2017-02-25,16,2,14
117,2017-02-26,16,12,4
118,2017-02-27,14,0,14
119,2017-02-28,12,0,12
120,2017-03-01,22,0,22
121,2017-03-02,6,0,6
122,2017-03-03,20,0,20
123,2017-03-04,16,2,14
124,2017-03-05,14,10,4
125,2017-03-06,22,0,22
126,2017-03-07,6,0,6
127,2017-03-08,22,0,22
128,2017-03-09,10,0,10
129,2017-03-10,16,0,16
130,2017-03-11,24,6,18
131,2017-03-12,12,6,6
132,2017-03-13,16,0,16
133,2017-03-14,10,0,10
134,2017-03-15,20,0,20
135,2017-03-16,12,0,12
136,2017-03-17,16,0,16
137,2017-03-18,16,4,12
138,2017-03-19,16,12,4
139,2017-03-20,14,0,14
140,2017-03-21,16,0,16
141,2017-03-22,16,0,16
142,2017-03-23,10,0,10
143,2017-03-24,20,0,20
144,2017-03-25,10,2,8
145,2017-03-26,20,14,6
146,2017-03-27,12,0,12
147,2017-03-28,16,0,16
148,2017-03-29,20,0,20
149,2017-03-30,10,0,10
150,2017-03-31,22,0,22
151,2017-04-01,10,6,4
152,2017-04-02,24,20,4
153,2017-04-03,2,0,2
154,2017-04-04,22,0,22
155,2017-04-05,16,0,16
156,2017-04-06,12,0,12
157,2017-04-07,18,0,18
158,2017-04-08,16,6,10
159,2017-04-09,14,12,2
160,2017-04-10,18,0,18
161,2017-04-11,10,0,10
162,2017-04-12,28,0,28
163,2017-04-15,8,4,4
164,2017-04-16,8,4,4
165,2017-04-17,4,0,4
166,2017-04-18,6,0,6
167,2017-04-19,6,0,6
168,2017-04-20,6,0,6
169,2017-04-21,6,0,6
170,2017-04-22,8,4,4
171,2017-04-23,8,4,4
172,2017-04-24,6,0,6
173,2017-04-25,6,0,6
174,2017-04-26,4,2,2
175,2017-04-27,4,0,4
176,2017-04-28,6,0,6
177,2017-04-30,4,4,0
178,2017-05-01,4,0,4
179,2017-05-02,4,0,4
180,2017-05-03,4,0,4
181,2017-05-04,4,0,4
182,2017-05-05,4,0,4
183,2017-05-06,2,0,2
184,2017-05-07,6,2,4
185,2017-05-08,2,0,2
186,2017-05-09,2,0,2
187,2017-05-10,2,0,2
188,2017-05-11,2,0,2
189,2017-05-12,2,0,2
190,2017-05-14,2,2,0
191,2017-05-15,2,0,2
192,2017-05-16,2,0,2
193,2017-05-17,2,0,2
194,2017-05-19,2,0,2
195,2017-05-20,2,0,2
196,2017-05-21,2,0,2
197,2017-05-22,2,0,2
198,2017-05-23,2,0,2
199,2017-05-25,2,0,2
200,2017-06-01,2,0,2
201,2017-06-04,2,0,2
202,2017-06-07,2,0,2
203,2017-06-09,2,0,2
204,2017-06-12,2,0,2
